student,assignment,attempt,grade,submission time
45097,A01,2,94,6
63045,A02,4,82,-39
67003,A01,2,71,58
39908,A02,4,85,-38
26996,A01,4,95,31
10884,A01,6,85,6
60972,A02,1,38,30
31379,A02,2,75,60
79398,A02,2,94,6
45285,A01,1,89,-40
20216,A02,2,70,45
15528,A02,3,72,-18
31379,A01,6,80,64
36914,A01,4,74,18
31251,A01,1,44,101
65769,A02,3,86,4
67003,A02,1,62,34
69644,A03,1,102,4
57270,A02,1,2,76
11873,A01,6,84,-99
84900,A01,1,91,5
29397,A01,3,78,32
21476,A02,8,96,3
92329,A02,5,85,90
30989,A02,4,101,3
17497,A01,3,60,4
55351,A03,1,80,-40
27545,A01,4,80,3
93814,A02,2,2,-18
15771,A03,1,69,2
54472,A02,1,64,-38
17851,A01,1,72,-22
30269,A02,2,87,3
51822,A01,1,61,18
21476,A02,5,96,3
11409,A02,1,94,98
26375,A01,2,91,35
52859,A01,2,61,6
74928,A02,2,94,13
95903,A02,2,95,13
19005,A02,16,97,2
74928,A02,3,98,13
71843,A02,2,94,5
69644,A01,12,91,57
88788,A01,8,92,59
23172,A02,2,60,3
47148,A03,1,85,58
94213,A01,1,62,9
92329,A02,2,59,89
37119,A02,3,93,3
35716,A01,2,73,-99
57270,A03,1,79,-17
83204,A02,1,81,4
25873,A03,1,102,4
26099,A03,1,97,1
45097,A01,3,99,3
84900,A02,2,91,5
63045,A02,3,71,-38
19041,A01,4,95,-28
59819,A02,1,69,60
10884,A01,8,101,3
31379,A02,3,90,61
66495,A01,1,79,3
40923,A01,2,84,6
66144,A02,1,47,4
23055,A03,1,67,-42
50907,A02,2,97,15
60955,A01,2,62,6
40835,A03,2,91,2
61701,A02,5,94,-97
59819,A01,6,93,129
85058,A03,2,89,5
86732,A01,2,89,34
21476,A02,12,94,4
55690,A01,1,67,3
96308,A01,1,34,8
22751,A02,2,85,3
19062,A02,4,99,3
93085,A01,1,77,-25
24697,A02,2,86,2
44069,A02,2,49,2
23055,A01,2,57,-7
40835,A03,1,77,4
66156,A01,2,82,5
45097,A03,2,97,4
29414,A02,1,58,30
60984,A03,1,97,46
29397,A02,1,48,35
17851,A02,1,51,-21
10133,A02,2,96,32
33490,A03,1,98,3
29397,A01,5,86,7
62702,A03,1,84,-39
54472,A03,1,80,-37
94559,A02,4,95,1
45748,A01,6,74,90
19062,A01,2,92,5
52859,A01,1,22,6
83216,A02,2,94,6
87115,A01,1,89,4
31787,A02,1,77,2
37119,A01,1,57,32
12481,A01,2,75,-38
12481,A02,1,34,-37
85058,A03,1,85,3
16940,A03,2,73,1
96110,A02,2,93,59
95903,A03,2,96,6
77180,A02,1,25,14
97979,A01,1,74,-27
19873,A03,2,90,48
96308,A01,6,69,0
70201,A02,1,37,31
19005,A01,5,100,9
45748,A02,5,88,89
30989,A01,2,84,8
43503,A02,3,82,73
64395,A02,2,90,31
60064,A01,5,81,-98
77180,A01,2,84,17
84998,A03,2,91,34
10884,A03,1,69,6
14840,A02,1,74,4
23172,A03,1,80,0
96308,A02,6,91,1
27545,A03,2,80,0
23172,A03,2,79,1
17668,A03,2,88,2
69644,A01,16,84,57
31570,A02,1,86,75
55143,A03,1,48,1
94289,A01,1,63,0
83977,A03,1,68,2
69644,A02,4,90,48
94559,A03,1,64,4
61701,A01,1,48,5
54196,A03,1,93,41
83216,A03,1,80,5
50361,A02,2,93,5
79300,A01,1,75,40
80545,A03,1,95,-28
17836,A01,1,83,118
72887,A01,7,87,4
54196,A02,3,90,47
96155,A02,3,98,3
66156,A03,2,95,5
32092,A01,3,82,4
39908,A02,2,76,-36
28118,A02,4,101,-26
41502,A01,1,85,4
88788,A01,4,83,61
69644,A01,17,100,58
77670,A01,2,85,-21
45418,A01,3,70,18
78749,A01,2,72,4
88788,A01,1,45,63
60972,A03,2,85,2
26263,A03,2,91,-21
31379,A02,1,58,64
23172,A02,3,98,3
98255,A03,1,59,-40
57982,A01,1,89,-98
64395,A02,1,25,31
19591,A01,2,97,13
61454,A01,3,87,-99
15458,A02,2,86,34
30989,A01,1,62,7
15528,A01,3,74,-18
19591,A03,1,94,8
88304,A01,4,89,-5
18402,A01,3,99,7
45748,A01,9,88,7
83185,A03,1,56,-40
55690,A02,2,101,2
68076,A02,2,95,43
83204,A03,1,94,3
61237,A01,4,82,6
44853,A01,2,94,76
93814,A03,1,82,-17
53650,A01,1,89,72
86732,A02,4,92,4
45097,A03,1,99,3
59819,A03,2,89,46
50543,A01,4,87,3
77180,A02,2,33,3
17668,A01,1,89,2
19041,A01,5,84,-97
55351,A02,4,86,-38
96274,A03,1,81,-98
44169,A02,1,39,-40
19873,A02,6,92,63
85058,A01,2,82,7
52859,A02,2,85,2
44005,A03,2,99,3
61701,A01,4,81,3
10884,A01,3,83,8
95903,A02,3,101,12
92431,A02,1,62,1
65303,A03,2,100,3
79243,A01,1,72,59
55243,A01,2,77,21
69402,A01,2,82,17
19910,A02,1,78,-97
29414,A01,2,66,18
59819,A01,7,85,134
53370,A02,3,65,3
35716,A01,4,91,-99
99140,A01,2,98,-97
72887,A01,4,92,9
32348,A01,1,56,76
36776,A03,2,92,-40
93907,A01,2,64,2
26263,A02,5,96,3
43503,A01,2,57,18
17668,A02,1,81,1
19005,A02,6,92,4
45748,A03,2,99,6
86732,A02,7,92,5
86825,A01,1,82,49
10884,A02,1,65,5
45927,A01,1,73,-41
60307,A03,1,65,-40
86274,A02,1,51,2
46193,A03,2,87,3
18402,A01,1,80,5
53370,A03,1,68,-39
19873,A01,3,87,131
45960,A03,1,84,-39
14533,A03,2,81,1
13819,A01,3,82,20
60972,A02,2,93,7
46193,A01,1,84,1
69644,A01,14,87,60
60955,A03,1,80,0
35716,A02,1,35,-98
63335,A01,1,79,-26
50907,A01,2,34,14
11873,A01,2,87,73
50907,A01,3,50,16
83832,A01,3,50,14
91537,A02,6,97,44
30269,A02,1,37,5
93696,A03,2,97,6
88304,A02,1,62,2
51025,A03,1,61,17
47148,A01,2,69,64
25873,A01,3,73,5
30269,A01,2,72,5
34963,A01,5,87,-99
50543,A01,3,73,5
30269,A02,4,99,-97
33490,A02,2,90,4
59819,A02,2,78,63
43586,A01,3,57,7
25848,A01,3,62,5
28118,A03,1,98,-26
18526,A02,3,97,-26
57380,A02,1,37,5
45748,A01,4,77,93
96308,A01,2,65,7
70201,A02,2,81,28
97979,A03,1,84,-40
65769,A02,1,60,29
62250,A02,5,100,64
15771,A01,3,87,-99
16940,A01,1,67,3
80429,A02,1,86,76
83832,A01,2,39,15
96110,A02,1,52,60
36914,A02,4,83,6
10884,A01,1,58,9
22751,A01,2,79,7
61237,A01,1,34,9
13819,A03,2,79,18
66144,A03,2,84,1
15528,A02,1,4,82
34226,A01,1,61,6
40923,A01,3,85,7
60955,A01,7,64,4
10884,A01,4,74,5
16322,A01,2,86,75
94213,A01,5,81,6
10884,A01,5,83,7
27545,A01,6,62,4
94213,A01,6,85,5
19041,A02,5,97,-98
95903,A01,1,72,14
96665,A01,1,74,-24
10884,A01,7,94,2
18526,A03,1,92,-24
45225,A01,4,99,2
32348,A01,3,65,19
31379,A01,4,73,61
65229,A01,1,73,35
92329,A02,4,83,88
17497,A01,4,52,2
74928,A01,1,71,15
84998,A02,2,68,48
39612,A01,3,97,5
26996,A02,1,72,7
10133,A01,2,81,32
77747,A02,1,58,0
48562,A03,1,69,1
82252,A01,3,90,5
78476,A01,2,77,7
60955,A01,1,19,7
37119,A02,1,74,7
38048,A01,1,71,3
61701,A01,6,81,5
97979,A02,3,97,-27
46514,A02,2,97,3
44069,A01,3,89,4
65769,A01,3,80,29
47931,A01,2,75,6
66495,A01,2,85,4
67736,A02,3,81,-40
74801,A03,2,91,1
20216,A03,1,96,46
55143,A01,2,84,4
96732,A01,1,51,5
96308,A02,4,87,1
19041,A02,2,96,-26
50907,A01,4,75,15
91537,A01,13,88,62
83832,A01,4,72,14
35099,A01,4,92,8
44729,A01,2,68,4
18208,A01,1,71,1
40835,A01,3,95,16
85058,A01,3,92,8
66213,A03,1,85,-36
69749,A02,2,95,79
72887,A01,6,88,3
88788,A01,15,96,61
14107,A01,1,91,7
62702,A02,3,98,-98
23055,A01,1,54,1
65937,A02,1,45,9
72887,A01,8,98,2
14107,A02,1,72,5
79243,A01,3,79,61
50361,A01,1,68,7
14533,A01,1,22,6
63045,A02,1,65,-36
94289,A01,2,75,3
45748,A03,1,89,5
17668,A01,2,80,3
77946,A01,2,85,1
86732,A02,16,95,2
96110,A03,2,72,5
85058,A01,6,91,3
50745,A02,1,92,-24
35817,A01,2,78,63
51025,A01,1,26,6
60343,A02,1,59,43
78476,A02,3,66,6
20468,A02,2,47,4
31251,A01,2,86,5
32092,A01,2,80,5
24386,A02,1,61,-27
92329,A02,6,88,88
67736,A02,1,51,-40
69644,A01,7,83,58
17836,A03,1,92,118
92431,A03,2,73,1
19873,A02,3,90,61
32348,A02,5,95,3
93741,A02,2,99,3
47931,A01,1,27,7
78575,A01,3,67,20
34963,A02,2,96,-27
60984,A01,4,100,43
23055,A02,1,49,-40
60064,A02,1,72,4
84998,A01,6,89,-98
74969,A03,1,83,-29
65937,A02,4,85,4
74801,A02,6,100,-99
96155,A02,1,63,3
91888,A01,1,73,117
31379,A01,2,71,60
96308,A01,7,78,0
86956,A01,8,80,0
61237,A01,8,79,0
57270,A02,3,73,-18
87304,A02,3,102,-25
22751,A01,4,75,6
50907,A03,1,62,4
86956,A01,10,94,-7
61237,A01,10,91,-8
36776,A01,2,81,-98
91537,A01,16,89,59
77180,A01,1,81,57
89018,A02,1,63,39
35443,A02,1,88,-27
54472,A01,1,67,6
45418,A01,2,67,13
83410,A02,3,96,-99
84998,A01,4,89,70
31379,A01,3,74,63
45748,A02,8,89,5
92329,A02,7,96,87
66156,A01,1,75,10
71843,A02,3,100,6
45748,A02,4,84,92
31379,A01,5,93,60
65564,A01,1,94,103
63974,A03,2,94,5
88788,A02,1,29,46
40923,A01,4,98,4
34226,A03,1,75,1
50543,A01,1,59,7
50543,A03,2,82,0
45097,A02,2,94,4
19041,A01,3,72,-29
94559,A02,5,96,2
78476,A03,2,96,5
30122,A01,2,86,-42
78749,A02,1,61,0
17692,A02,2,2,-97
33490,A01,4,74,4
55351,A02,2,76,-38
39612,A02,3,100,5
65937,A01,3,83,6
34047,A03,1,79,3
96665,A01,2,91,-26
19863,A01,1,79,8
19873,A02,2,75,64
19005,A03,2,93,4
96308,A01,10,93,-7
35099,A01,6,91,4
55243,A01,1,79,31
80758,A01,1,77,-26
19005,A02,10,95,3
14937,A01,1,72,52
80758,A03,1,82,-39
45420,A01,1,87,114
20468,A01,3,88,2
66156,A01,3,84,6
30989,A02,1,21,8
66495,A02,3,76,3
93085,A01,2,88,-41
60984,A01,1,73,45
91537,A01,4,84,59
45420,A02,1,27,115
16322,A03,1,94,62
83204,A01,3,93,4
61454,A01,1,73,4
19873,A02,5,100,59
99140,A02,3,98,-99
60984,A01,3,83,46
74801,A01,7,90,5
69402,A02,4,98,3
33490,A01,5,79,6
70201,A01,4,97,31
67003,A02,3,87,5
29414,A03,2,93,2
13512,A01,1,85,-25
35099,A01,7,89,5
53370,A01,3,92,15
45960,A02,1,48,-23
22751,A01,1,62,9
61701,A01,5,87,2
22751,A01,7,95,2
91537,A02,4,90,48
88788,A01,16,86,61
66205,A03,1,62,4
62250,A01,2,78,131
44069,A02,3,79,-3
89018,A03,2,70,38
45748,A02,6,87,92
50907,A03,2,59,1
29397,A03,1,79,4
80758,A02,1,69,-27
38048,A02,1,82,3
51822,A01,2,67,16
94289,A03,2,72,3
18526,A01,1,85,-24
30596,A02,2,88,-10
92431,A03,1,46,8
60064,A03,1,72,2
17692,A02,4,89,-99
63974,A03,1,88,4
20216,A02,1,73,47
89623,A03,1,97,77
17668,A03,1,85,3
82815,A01,2,74,61
86956,A01,4,81,6
67003,A01,3,80,31
42798,A03,1,70,-27
88788,A01,2,60,61
51822,A02,2,97,27
17668,A01,3,87,2
15771,A01,4,71,-97
43503,A02,1,61,74
69749,A01,2,92,76
33954,A03,1,91,1
47148,A01,1,69,64
50671,A01,1,81,2
84998,A02,1,62,52
65303,A01,4,102,29
60955,A01,6,64,5
85058,A01,4,91,9
55243,A02,2,87,34
60064,A01,1,70,2
66213,A01,1,87,-42
34285,A02,1,20,-41
16940,A02,1,65,0
80545,A02,4,100,-28
61454,A01,6,95,-99
74801,A02,3,92,4
86077,A03,1,70,-24
93696,A02,2,59,89
45097,A01,1,90,5
91888,A02,1,53,13
32348,A02,2,62,76
86956,A02,3,69,1
96308,A01,9,76,0
44005,A01,4,98,32
25848,A01,2,60,6
19005,A01,4,91,32
32348,A02,4,87,3
31379,A03,2,91,60
93696,A01,3,88,90
78476,A02,4,87,5
36776,A02,1,83,7
17692,A01,1,50,-99
69749,A01,1,77,75
45748,A02,1,48,91
78476,A02,2,63,8
93696,A02,7,94,88
65937,A02,2,64,8
21476,A02,16,99,3
83832,A02,2,91,16
43503,A03,1,79,4
93741,A02,1,50,3
62250,A01,9,97,132
66156,A02,2,66,8
63974,A02,2,93,4
66156,A02,5,95,5
31687,A02,2,92,-26
86732,A02,14,96,2
50745,A03,1,77,-27
18526,A02,2,96,-26
15458,A03,1,92,1
72887,A03,1,87,2
94213,A01,8,99,4
45748,A01,7,92,92
79243,A01,7,77,60
26263,A02,4,89,2
80758,A01,3,91,-26
29397,A01,4,97,34
14533,A01,6,63,3
69644,A01,10,90,63
49013,A02,3,94,4
43503,A01,4,73,13
30269,A01,3,81,3
28118,A02,1,80,-25
43025,A02,1,70,2
87304,A01,2,89,-23
13819,A02,1,18,43
47931,A03,1,58,18
34963,A02,3,94,-26
59819,A02,10,101,59
45927,A02,1,18,-40
79300,A02,1,64,39
20216,A01,2,87,45
40923,A01,1,62,8
24697,A03,1,85,3
38261,A02,1,88,-25
53650,A03,1,89,32
65937,A02,3,68,5
72887,A01,5,95,5
17497,A01,1,62,8
72887,A01,3,89,8
78575,A02,1,23,34
11873,A03,2,92,32
18402,A02,3,98,5
38261,A01,2,74,-36
44069,A01,1,63,4
53370,A01,2,85,20
72887,A02,2,73,5
34226,A02,2,96,3
35099,A02,3,102,5
26996,A01,3,87,27
53834,A01,2,78,4
83216,A02,1,64,5
93696,A02,4,83,91
33791,A02,1,25,15
96274,A01,1,52,-99
19041,A03,1,95,-40
31379,A02,5,87,65
95172,A01,6,66,1
20216,A02,3,92,43
94213,A03,2,62,6
91888,A03,1,87,4
36914,A01,5,58,13
53834,A02,1,83,3
57380,A02,2,81,5
52859,A01,4,62,3
15528,A02,2,2,-17
78160,A01,1,81,46
35716,A02,4,87,-98
41502,A02,1,80,2
21476,A02,13,93,3
56739,A02,2,97,3
52859,A01,7,66,3
82815,A01,3,79,33
16284,A03,1,84,-37
59819,A02,9,98,60
45225,A03,2,86,5
77180,A01,3,94,13
13512,A02,3,99,-23
62250,A02,1,73,65
31787,A03,1,79,2
61454,A02,3,93,-98
88741,A02,1,82,2
55143,A02,2,90,4
66144,A03,1,75,1
86956,A01,3,52,7
87304,A01,1,82,-23
56194,A02,3,83,-39
88788,A01,6,76,63
53650,A03,2,95,37
89232,A01,1,85,47
78476,A02,1,45,9
22751,A03,1,70,6
43586,A01,4,47,2
83204,A02,2,95,4
79243,A02,3,90,63
36914,A02,2,62,74
47148,A02,4,93,64
27545,A02,3,94,1
46193,A03,1,84,1
66205,A01,4,75,16
96732,A01,5,79,5
12472,A02,2,95,6
19873,A01,5,80,130
39612,A02,1,56,6
90439,A02,1,44,-12
26168,A01,1,95,-27
35099,A01,8,99,3
31379,A02,7,102,62
96732,A01,2,20,5
61701,A02,4,97,-97
59819,A01,2,76,133
19041,A02,1,62,-26
92329,A01,5,82,89
40923,A02,1,19,8
78884,A03,2,72,4
47148,A02,7,99,63
84998,A01,1,89,71
67736,A01,2,56,-7
66144,A01,1,59,6
40923,A02,3,94,5
62702,A02,1,65,-38
45225,A02,4,102,4
40923,A02,4,97,5
77670,A03,1,83,-38
62250,A01,4,86,131
29414,A02,2,99,29
82705,A01,1,59,-11
23055,A02,3,84,-39
38615,A02,2,99,114
31251,A03,1,47,1
96308,A01,3,53,6
79243,A02,2,71,60
89232,A02,1,91,42
70201,A03,2,100,5
25848,A01,4,47,3
44729,A01,1,55,4
43025,A03,1,69,1
66495,A02,2,85,3
17497,A01,5,64,1
88741,A01,3,95,3
56194,A02,2,86,-41
45748,A02,7,91,90
24386,A02,5,99,-97
50671,A02,1,76,3
17497,A01,2,58,7
94289,A03,1,45,9
71843,A02,1,57,7
91537,A01,11,95,59
33791,A03,1,71,3
21476,A02,7,91,2
61237,A03,2,88,-6
32348,A02,3,86,73
95382,A03,2,88,-41
35716,A02,3,62,-98
44729,A02,1,61,2
57982,A02,3,97,-98
59819,A01,9,97,132
82252,A03,1,87,4
95382,A01,1,86,20
83832,A03,1,63,3
45748,A02,3,80,91
18306,A02,3,93,4
79300,A03,2,72,36
26375,A03,2,100,4
99101,A01,1,96,102
30596,A01,1,55,-10
92089,A01,2,78,-38
32092,A02,2,84,2
89623,A02,1,88,75
94372,A01,2,89,-26
61237,A03,1,90,0
69644,A01,8,95,63
44853,A02,2,93,77
17836,A02,1,27,114
23172,A01,6,60,1
34963,A03,1,97,-40
92431,A01,2,72,2
60343,A03,1,93,1
82252,A01,1,73,120
34226,A03,2,81,3
18306,A01,4,98,27
32348,A03,1,79,4
19910,A03,1,99,-97
78476,A03,1,86,6
66156,A03,1,83,5
19873,A01,2,75,131
14533,A02,2,84,3
89623,A01,3,97,79
61237,A02,3,69,3
86732,A02,2,70,6
21476,A01,2,92,33
18208,A02,1,47,1
23172,A01,5,74,3
16940,A02,2,70,0
53370,A03,2,97,-39
45225,A01,2,85,6
93852,A01,1,79,10
30989,A03,1,80,3
40923,A02,2,28,6
97979,A01,3,93,-27
10133,A03,1,81,4
18402,A02,1,54,7
92431,A02,2,68,1
31687,A01,3,93,-27
10884,A02,3,96,4
96155,A01,2,85,2
10884,A03,2,60,7
38615,A03,1,91,117
65229,A03,1,71,38
67604,A01,1,82,2
17692,A01,4,91,-97
65229,A03,2,68,38
77946,A01,1,85,3
86732,A02,13,94,2
70201,A01,3,90,30
30989,A03,2,84,5
20627,A01,1,87,-99
60984,A02,1,73,43
35443,A03,2,80,-40
55143,A01,1,43,99
80758,A01,2,92,-27
61454,A02,2,79,-98
55090,A01,1,82,44
25873,A01,2,20,5
86732,A02,1,58,8
71843,A03,1,87,5
89623,A02,2,91,76
54196,A02,2,69,45
93852,A02,1,83,9
53650,A01,3,85,74
66205,A01,3,49,16
60955,A02,3,77,3
10133,A03,2,100,2
69644,A01,6,77,58
94372,A02,2,98,-26
79243,A02,7,101,62
14533,A01,5,68,3
96543,A02,1,81,8
47148,A01,6,85,61
53834,A01,1,81,6
65303,A01,2,91,32
61237,A01,9,74,0
93696,A02,5,88,91
54454,A02,1,82,5
91537,A01,9,94,61
35443,A01,1,58,-38
10133,A01,5,88,7
19863,A02,1,86,10
24697,A01,3,79,2
64395,A01,1,73,33
31687,A01,2,87,-26
95903,A01,2,100,14
38261,A01,1,58,-39
84900,A02,1,84,3
24386,A02,3,96,-28
96732,A01,3,73,5
52859,A02,1,19,3
96274,A02,4,89,-99
30269,A01,4,81,5
26375,A02,1,38,29
47148,A03,2,92,61
82252,A02,1,48,13
45225,A03,1,77,3
19873,A02,9,97,57
61237,A02,5,87,1
35716,A01,1,54,-99
78575,A01,1,79,33
37119,A02,2,79,5
78884,A03,1,60,2
79243,A03,1,85,62
62702,A01,2,100,-97
62250,A02,10,99,59
72887,A02,1,27,6
67736,A03,1,66,-40
45225,A02,2,28,4
61701,A01,13,102,5
37119,A03,1,99,0
67003,A02,2,60,4
18306,A03,1,99,2
53834,A01,3,92,3
77670,A02,1,47,-23
31570,A02,2,95,74
63445,A03,1,68,2
45418,A02,1,23,17
17851,A01,2,89,-22
30269,A01,13,101,4
68076,A03,2,78,22
86956,A02,6,91,2
11409,A03,1,72,97
74801,A01,3,82,5
52859,A01,6,65,3
